savename=filter_existing_method_concept; dataset=cub; k=5; shot=16; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,54.06972885131836,0.1583344275779035,54.21125292778015,53.762513399124146,86.18916153907776,0.07825856161732078,86.31342649459839,86.10631823539734
savename=filter_existing_method_concept; dataset=eurosat; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a satellite photo: a ,49.481481313705444,0.0,49.481481313705444,49.481481313705444,89.94444608688354,0.0,89.94444608688354,89.94444608688354
savename=filter_existing_method_concept; dataset=places365; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a place: a ,42.563835978507996,0.08031454142748985,42.67397224903107,42.443835735321045,73.06739807128906,0.0381443021629309,73.11781048774719,73.00000190734863
savename=filter_existing_method_concept; dataset=food101; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a food: a ,84.7754454612732,0.03061670928431757,84.80396270751953,84.72079038619995,97.52158403396606,0.017244481170241355,97.54059314727783,97.4970281124115
savename=filter_existing_method_concept; dataset=pets; k=5; shot=64; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a pet: a ,89.10329937934875,0.083385008650119,89.20686841011047,88.96157145500183,99.53120589256287,0.020397423779627364,99.56391453742981,99.50940012931824
savename=filter_existing_method_concept; dataset=dtd; k=5; shot=32; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a texture: a ,44.93616998195648,0.14817460814918954,45.21276652812958,44.78723406791687,76.81915044784546,0.23161081360978758,77.1276593208313,76.59574747085571
savename=filter_existing_method_concept; dataset=flowers102; k=5; shot=8; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a flower: a ,70.16425371170044,0.21417645200895627,70.54805755615234,69.91380453109741,87.58497476577759,0.022060906553348202,87.607741355896,87.54268884658813
savename=filter_existing_method_concept; dataset=fgvcaircraft; k=5; shot=32; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a aircraft: a ,29.372937083244324,0.15762270829556957,29.522952437400818,29.07290756702423,68.59285831451416,0.04800558090209961,68.61686110496521,68.49684715270996
savename=filter_existing_method_concept; dataset=cars; k=5; shot=16; mode=filtered_dclip; reps=5; model_size=ViT-B/32; label_before_text=A photo of a car: a ,59.925382137298584,0.19546626723516589,60.27857065200806,59.73137617111206,91.73237085342407,0.15137507398196443,91.9537365436554,91.56821370124817
