savename=using_only_descriptor_dclip; dataset=imagenet; mode=dclip; model_size=ViT-B/32,63.66400122642517,0.0,63.66400122642517,63.66400122642517,88.88000249862671,0.0,88.88000249862671,88.88000249862671
savename=using_only_descriptor_dclip; dataset=imagenetv2; mode=dclip; model_size=ViT-B/32,56.25,0.0,56.25,56.25,83.12000036239624,0.0,83.12000036239624,83.12000036239624
savename=using_only_descriptor_dclip; dataset=caltech256; mode=dclip; model_size=ViT-B/32,81.2479555606842,0.0,81.2479555606842,81.2479555606842,93.69487166404724,0.0,93.69487166404724,93.69487166404724
savename=using_only_descriptor_dclip; dataset=cifar100; mode=dclip; model_size=ViT-B/32,64.98000025749207,0.0,64.98000025749207,64.98000025749207,88.84000182151794,0.0,88.84000182151794,88.84000182151794
savename=using_only_descriptor_dclip; dataset=cub; mode=dclip; model_size=ViT-B/32,53.62443923950195,0.0,53.62443923950195,53.62443923950195,85.26061177253723,0.0,85.26061177253723,85.26061177253723
savename=using_only_descriptor_dclip; dataset=eurosat; mode=dclip; model_size=ViT-B/32,40.88888764381409,0.0,40.88888764381409,40.88888764381409,87.07407116889954,0.0,87.07407116889954,87.07407116889954
savename=using_only_descriptor_dclip; dataset=places365; mode=dclip; model_size=ViT-B/32,41.64109528064728,0.0,41.64109528064728,41.64109528064728,72.52602577209473,0.0,72.52602577209473,72.52602577209473
savename=using_only_descriptor_dclip; dataset=food101; mode=dclip; model_size=ViT-B/32,83.04158449172974,0.0,83.04158449172974,83.04158449172974,96.90693020820618,0.0,96.90693020820618,96.90693020820618
savename=using_only_descriptor_dclip; dataset=pets; mode=dclip; model_size=ViT-B/32,85.2548360824585,0.0,85.2548360824585,85.2548360824585,99.23685193061829,0.0,99.23685193061829,99.23685193061829
savename=using_only_descriptor_dclip; dataset=dtd; mode=dclip; model_size=ViT-B/32,44.20212805271149,0.0,44.20212805271149,44.20212805271149,74.14893507957458,0.0,74.14893507957458,74.14893507957458
savename=using_only_descriptor_dclip; dataset=flowers102; mode=dclip; model_size=ViT-B/32,66.56367182731628,0.0,66.56367182731628,66.56367182731628,85.26589870452881,0.0,85.26589870452881,85.26589870452881
savename=using_only_descriptor_dclip; dataset=fgvcaircraft; mode=dclip; model_size=ViT-B/32,26.49264931678772,0.0,26.49264931678772,26.49264931678772,65.6165599822998,0.0,65.6165599822998,65.6165599822998
savename=using_only_descriptor_dclip; dataset=cars; mode=dclip; model_size=ViT-B/32,59.05981659889221,0.0,59.05981659889221,59.05981659889221,91.095632314682,0.0,91.095632314682,91.095632314682
