savename=using_only_descriptor_comparative; dataset=imagenet; mode=comparative; model_size=ViT-B/32,64.03599977493286,0.0,64.03599977493286,64.03599977493286,88.92800211906433,0.0,88.92800211906433,88.92800211906433
savename=using_only_descriptor_comparative; dataset=imagenetv2; mode=comparative; model_size=ViT-B/32,56.62999749183655,0.0,56.62999749183655,56.62999749183655,83.27999711036682,0.0,83.27999711036682,83.27999711036682
savename=using_only_descriptor_comparative; dataset=caltech256; mode=comparative; model_size=ViT-B/32,82.26069808006287,0.0,82.26069808006287,82.26069808006287,93.89088749885559,0.0,93.89088749885559,93.89088749885559
savename=using_only_descriptor_comparative; dataset=cifar100; mode=comparative; model_size=ViT-B/32,65.68999886512756,0.0,65.68999886512756,65.68999886512756,89.01000022888184,0.0,89.01000022888184,89.01000022888184
savename=using_only_descriptor_comparative; dataset=cub; mode=comparative; model_size=ViT-B/32,54.21125292778015,0.0,54.21125292778015,54.21125292778015,85.27787327766418,0.0,85.27787327766418,85.27787327766418
savename=using_only_descriptor_comparative; dataset=eurosat; mode=comparative; model_size=ViT-B/32,42.51851737499237,0.0,42.51851737499237,42.51851737499237,88.20370435714722,0.0,88.20370435714722,88.20370435714722
savename=using_only_descriptor_comparative; dataset=places365; mode=comparative; model_size=ViT-B/32,42.21643805503845,0.0,42.21643805503845,42.21643805503845,72.98356294631958,0.0,72.98356294631958,72.98356294631958
savename=using_only_descriptor_comparative; dataset=food101; mode=comparative; model_size=ViT-B/32,83.82177948951721,0.0,83.82177948951721,83.82177948951721,97.17623591423035,0.0,97.17623591423035,97.17623591423035
savename=using_only_descriptor_comparative; dataset=pets; mode=comparative; model_size=ViT-B/32,87.43526935577393,0.0,87.43526935577393,87.43526935577393,99.18233752250671,0.0,99.18233752250671,99.18233752250671
savename=using_only_descriptor_comparative; dataset=dtd; mode=comparative; model_size=ViT-B/32,46.648937463760376,0.0,46.648937463760376,46.648937463760376,78.61701846122742,0.0,78.61701846122742,78.61701846122742
savename=using_only_descriptor_comparative; dataset=flowers102; mode=comparative; model_size=ViT-B/32,67.06781387329102,0.0,67.06781387329102,67.06781387329102,85.59115529060364,0.0,85.59115529060364,85.59115529060364
savename=using_only_descriptor_comparative; dataset=fgvcaircraft; mode=comparative; model_size=ViT-B/32,27.60275900363922,0.0,27.60275900363922,27.60275900363922,66.06660485267639,0.0,66.06660485267639,66.06660485267639
savename=using_only_descriptor_comparative; dataset=cars; mode=comparative; model_size=ViT-B/32,59.28367376327515,0.0,59.28367376327515,59.28367376327515,91.21999740600586,0.0,91.21999740600586,91.21999740600586
