
savename=waffleclip; dataset=imagenet; mode=waffle; waffle_count=15; reps=7; model_size=RN50,60.330285344805034,0.10788020028080346,60.50599813461304,60.137999057769775,86.27171431268964,0.0635480734158838,86.33400201797485,86.1519992351532
savename=waffleclip; dataset=cub; mode=waffle; waffle_count=15; reps=7; model_size=RN50,47.52946368285588,0.23797896209910754,48.04970622062683,47.27303981781006,81.90985747746059,0.08117785471465955,82.03313946723938,81.80876970291138
savename=waffleclip; dataset=eurosat; mode=waffle; waffle_count=15; reps=7; model_size=RN50,30.72910053389413,0.7796090254036177,32.08518624305725,29.729628562927246,81.4089936869485,0.581074978682838,82.27037191390991,80.66666722297668
savename=waffleclip; dataset=places365; mode=waffle; waffle_count=15; reps=7; model_size=RN50,38.30254375934601,0.10398418138435477,38.50410878658295,38.199999928474426,69.53972578048706,0.11723719212668625,69.78082060813904,69.39178109169006
savename=waffleclip; dataset=food101; mode=waffle; waffle_count=15; reps=7; model_size=RN50,79.8268735408783,0.12836119191609383,80.09108901023865,79.66336607933044,96.34398903165545,0.05281429358079759,96.41979932785034,96.26534581184387
savename=waffleclip; dataset=pets; mode=waffle; waffle_count=15; reps=7; model_size=RN50,84.12568654332843,0.1881862162522618,84.43717360496521,83.89207124710083,97.24331327847072,0.12652862351301802,97.35623002052307,96.94739580154419
savename=waffleclip; dataset=dtd; mode=waffle; waffle_count=15; reps=7; model_size=RN50,39.08814532416208,0.16438670252718096,39.30850923061371,38.776594400405884,70.18237028803144,0.1678638660158406,70.42553424835205,69.94680762290955
savename=waffleclip; dataset=flowers102; mode=waffle; waffle_count=15; reps=7; model_size=RN50,65.2208251612527,0.22682398265093015,65.63668847084045,64.82354998588562,83.34920917238507,0.04634780398324116,83.42819809913635,83.26557278633118
savename=waffleclip; dataset=fgvcaircraft; mode=waffle; waffle_count=15; reps=7; model_size=RN50,23.556641382830485,0.13266281590139756,23.82238209247589,23.402340710163116,58.49727988243103,0.33895791678195697,59.07590985298157,57.99580216407776
savename=waffleclip; dataset=cars; mode=waffle; waffle_count=15; reps=7; model_size=RN50,53.66781098502023,0.11179861663445578,53.82415056228638,53.53811979293823,87.69165107182094,0.11488993016481584,87.8622055053711,87.50155568122864
savename=waffleclip; dataset=cifar100; mode=waffle; waffle_count=15; reps=7; model_size=RN50,43.467143177986145,0.2039408052412368,43.86000037193298,43.209999799728394,74.84428456851414,0.13382930364407408,74.97000098228455,74.55999851226807
savename=waffleclip; dataset=caltech256; mode=waffle; waffle_count=15; reps=7; model_size=RN50,78.940121616636,0.13686422422249356,79.12446856498718,78.68343591690063,91.93540811538696,0.12704197232160783,92.07774996757507,91.70205593109131
