savename=ours; dataset=imagenetv2; mode=comparative; model_size=ViT-B/32,56.62999749183655,0.0,56.62999749183655,56.62999749183655,83.27999711036682,0.0,83.27999711036682,83.27999711036682
savename=ours; dataset=imagenet; mode=comparative; model_size=ViT-B/32,64.03599977493286,0.0,64.03599977493286,64.03599977493286,88.92800211906433,0.0,88.92800211906433,88.92800211906433
savename=ours; dataset=imagenetv2; mode=comparative; model_size=ViT-B/32,56.62999749183655,0.0,56.62999749183655,56.62999749183655,83.27999711036682,0.0,83.27999711036682,83.27999711036682
savename=ours; dataset=caltech256; mode=comparative; model_size=ViT-B/32,82.26069808006287,0.0,82.26069808006287,82.26069808006287,93.89088749885559,0.0,93.89088749885559,93.89088749885559
savename=ours; dataset=cifar100; mode=comparative; model_size=ViT-B/32,65.68999886512756,0.0,65.68999886512756,65.68999886512756,89.01000022888184,0.0,89.01000022888184,89.01000022888184
savename=ours; dataset=cub; mode=comparative; model_size=ViT-B/32,54.21125292778015,0.0,54.21125292778015,54.21125292778015,85.27787327766418,0.0,85.27787327766418,85.27787327766418
savename=ours; dataset=cub; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,53.7797749042511,0.0,53.7797749042511,53.7797749042511,86.20986938476562,0.0,86.20986938476562,86.20986938476562
savename=ours; dataset=eurosat; mode=comparative; model_size=ViT-B/32,42.51851737499237,0.0,42.51851737499237,42.51851737499237,88.20370435714722,0.0,88.20370435714722,88.20370435714722
savename=ours; dataset=eurosat; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a satellite photo: a ,50.5740761756897,0.0,50.5740761756897,50.5740761756897,92.77777671813965,0.0,92.77777671813965,92.77777671813965
savename=ours; dataset=places365; mode=comparative; model_size=ViT-B/32,42.21643805503845,0.0,42.21643805503845,42.21643805503845,72.98356294631958,0.0,72.98356294631958,72.98356294631958
savename=ours; dataset=places365; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a place: a ,42.25205481052399,0.0,42.25205481052399,42.25205481052399,72.82191514968872,0.0,72.82191514968872,72.82191514968872
savename=ours; dataset=food101; mode=comparative; model_size=ViT-B/32,83.82177948951721,0.0,83.82177948951721,83.82177948951721,97.17623591423035,0.0,97.17623591423035,97.17623591423035
savename=ours; dataset=food101; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a food: a ,84.93861556053162,0.0,84.93861556053162,84.93861556053162,97.55247235298157,0.0,97.55247235298157,97.55247235298157
savename=ours; dataset=pets; mode=comparative; model_size=ViT-B/32,87.43526935577393,0.0,87.43526935577393,87.43526935577393,99.18233752250671,0.0,99.18233752250671,99.18233752250671
savename=ours; dataset=pets; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a pet: a ,88.79804015159607,0.0,88.79804015159607,88.79804015159607,99.56391453742981,0.0,99.56391453742981,99.56391453742981
savename=ours; dataset=dtd; mode=comparative; model_size=ViT-B/32,46.648937463760376,0.0,46.648937463760376,46.648937463760376,78.61701846122742,0.0,78.61701846122742,78.61701846122742
savename=ours; dataset=dtd; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a texture: a ,44.574469327926636,0.0,44.574469327926636,44.574469327926636,78.29787135124207,0.0,78.29787135124207,78.29787135124207
savename=ours; dataset=flowers102; mode=comparative; model_size=ViT-B/32,67.06781387329102,0.0,67.06781387329102,67.06781387329102,85.59115529060364,0.0,85.59115529060364,85.59115529060364
savename=ours; dataset=flowers102; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a flower: a ,68.41762661933899,0.0,68.41762661933899,68.41762661933899,87.5101625919342,0.0,87.5101625919342,87.5101625919342
savename=ours; dataset=fgvcaircraft; mode=comparative; model_size=ViT-B/32,27.60275900363922,0.0,27.60275900363922,27.60275900363922,66.06660485267639,0.0,66.06660485267639,66.06660485267639
savename=ours; dataset=fgvcaircraft; mode=comparative; model_size=ViT-B/32; label_before_text=A photo of a aircraft: a ,29.4329434633255,0.0,29.4329434633255,29.4329434633255,67.89678931236267,0.0,67.89678931236267,67.89678931236267
savename=ours; dataset=imagenet; k=10; shot=64; mode=filtered; reps=5; model_size=ViT-B/32,65.6656002998352,0.04824035599313822,65.7260000705719,65.6059980392456,89.94720101356506,0.03367191855712373,90.01200199127197,89.91400003433228
savename=ours; dataset=imagenetv2; k=10; shot=32; mode=filtered; reps=5; model_size=ViT-B/32,57.513999938964844,0.08014938698109411,57.63999819755554,57.40000009536743,84.371999502182,0.07494127638431741,84.46000218391418,84.24999713897705
savename=ours; dataset=caltech256; k=10; shot=32; mode=filtered; reps=5; model_size=ViT-B/32,83.56092810630798,0.09724068347948338,83.66546630859375,83.4041178226471,95.21398186683655,0.0985491234329647,95.27931809425354,95.01796960830688
savename=ours; dataset=cifar100; k=20; shot=32; mode=filtered; reps=5; model_size=ViT-B/32,64.78400111198425,0.055351568876738026,64.88999724388123,64.74000215530396,88.74000072479248,0.07155388714759799,88.81000280380249,88.63000273704529
savename=ours; dataset=cub; k=5; shot=16; mode=filtered; reps=5; model_size=ViT-B/32,56.37556076049805,0.08356116545399467,56.472212076187134,56.23058080673218,87.36624002456665,0.059788725246368565,87.45253682136536,87.29720115661621
savename=ours; dataset=cub; k=5; shot=16; mode=filtered; reps=5; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,56.22713088989258,0.1478265602219126,56.38591647148132,56.006211042404175,87.51121878623962,0.13919213430537328,87.72868514060974,87.29720115661621
