Class Name,Accuracy
"('red-backed sandpiper', 'dunlin', 'Erolia alpina')",82.0
"('redshank', 'Tringa totanus')",78.0
"('dowitcher',)",70.0
"('oystercatcher', 'oyster catcher')",94.0
"('pelican',)",80.0
"('king penguin', 'Aptenodytes patagonica')",92.0
"('albatross', 'mollymawk')",88.0
"('grey whale', 'gray whale', 'devilfish', 'Eschrichtius gibbosus', 'Eschrichtius robustus')",96.0
"('killer whale', 'killer', 'orca', 'grampus', 'sea wolf', 'Orcinus orca')",90.0
"('dugong', 'Dugong dugon')",90.0
"('sea lion',)",82.0
"('Chihuahua',)",50.0
"('Japanese spaniel',)",80.0
"('Maltese dog', 'Maltese terrier', 'Maltese')",56.0
"('Pekinese', 'Pekingese', 'Peke')",60.0
"('Shih-Tzu',)",46.0
"('Blenheim spaniel',)",76.0
"('papillon',)",42.0
"('toy terrier',)",46.0
"('Rhodesian ridgeback',)",68.0
"('Afghan hound', 'Afghan')",44.0
"('basset', 'basset hound')",80.0
"('beagle',)",72.0
"('bloodhound', 'sleuthhound')",22.0
"('bluetick',)",66.0
"('black-and-tan coonhound',)",70.0
"('Walker hound', 'Walker foxhound')",60.0
"('English foxhound',)",22.0
"('redbone',)",52.0
"('borzoi', 'Russian wolfhound')",70.0
"('Irish wolfhound',)",20.0
"('Italian greyhound',)",72.0
"('whippet',)",54.0
"('Ibizan hound', 'Ibizan Podenco')",46.0
"('Norwegian elkhound', 'elkhound')",78.0
"('otterhound', 'otter hound')",54.0
"('Saluki', 'gazelle hound')",38.0
"('Scottish deerhound', 'deerhound')",64.0
"('Weimaraner',)",82.0
"('Staffordshire bullterrier', 'Staffordshire bull terrier')",50.0
"('American Staffordshire terrier', 'Staffordshire terrier', 'American pit bull terrier', 'pit bull terrier')",60.0
"('Bedlington terrier',)",40.0
"('Border terrier',)",80.0
"('Kerry blue terrier',)",68.0
"('Irish terrier',)",34.0
"('Norfolk terrier',)",28.0
"('Norwich terrier',)",42.0
"('Yorkshire terrier',)",40.0
"('wire-haired fox terrier',)",40.0
"('Lakeland terrier',)",28.0
"('Sealyham terrier', 'Sealyham')",80.0
"('Airedale', 'Airedale terrier')",66.0
"('cairn', 'cairn terrier')",44.0
"('Australian terrier',)",20.0
"('Dandie Dinmont', 'Dandie Dinmont terrier')",46.0
"('Boston bull', 'Boston terrier')",90.0
"('miniature schnauzer',)",54.0
"('giant schnauzer',)",30.0
"('standard schnauzer',)",56.0
"('Scotch terrier', 'Scottish terrier', 'Scottie')",56.0
"('Tibetan terrier', 'chrysanthemum dog')",44.0
"('silky terrier', 'Sydney silky')",22.0
"('soft-coated wheaten terrier',)",32.0
"('West Highland white terrier',)",72.0
"('Lhasa', 'Lhasa apso')",32.0
"('flat-coated retriever',)",54.0
"('curly-coated retriever',)",66.0
"('golden retriever',)",76.0
"('Labrador retriever',)",68.0
"('Chesapeake Bay retriever',)",66.0
"('German short-haired pointer',)",80.0
"('vizsla', 'Hungarian pointer')",70.0
"('English setter',)",74.0
"('Irish setter', 'red setter')",64.0
"('Gordon setter',)",76.0
"('Brittany spaniel',)",54.0
"('clumber', 'clumber spaniel')",58.0
"('English springer', 'English springer spaniel')",68.0
"('Welsh springer spaniel',)",56.0
"('cocker spaniel', 'English cocker spaniel', 'cocker')",28.0
"('Sussex spaniel',)",48.0
"('Irish water spaniel',)",42.0
"('kuvasz',)",50.0
"('schipperke',)",88.0
"('groenendael',)",24.0
"('malinois',)",78.0
"('briard',)",30.0
"('kelpie',)",56.0
"('komondor',)",56.0
"('Old English sheepdog', 'bobtail')",64.0
"('Shetland sheepdog', 'Shetland sheep dog', 'Shetland')",62.0
"('collie',)",0.0
"('Border collie',)",70.0
"('Bouvier des Flandres', 'Bouviers des Flandres')",32.0
"('Rottweiler',)",46.0
"('German shepherd', 'German shepherd dog', 'German police dog', 'alsatian')",58.0
"('Doberman', 'Doberman pinscher')",56.0
"('miniature pinscher',)",74.0
"('Greater Swiss Mountain dog',)",56.0
"('Bernese mountain dog',)",66.0
"('Appenzeller',)",4.0
"('EntleBucher',)",78.0
"('boxer',)",38.0
"('bull mastiff',)",84.0
"('Tibetan mastiff',)",76.0
"('French bulldog',)",82.0
"('Great Dane',)",28.0
"('Saint Bernard', 'St Bernard')",84.0
"('Eskimo dog', 'husky')",24.0
"('malamute', 'malemute', 'Alaskan malamute')",60.0
"('Siberian husky',)",20.0
"('dalmatian', 'coach dog', 'carriage dog')",78.0
"('affenpinscher', 'monkey pinscher', 'monkey dog')",72.0
"('basenji',)",76.0
"('pug', 'pug-dog')",88.0
"('Leonberg',)",96.0
"('Newfoundland', 'Newfoundland dog')",46.0
"('Great Pyrenees',)",38.0
"('Samoyed', 'Samoyede')",80.0
"('Pomeranian',)",82.0
"('chow', 'chow chow')",74.0
"('keeshond',)",78.0
"('Brabancon griffon',)",50.0
"('Pembroke', 'Pembroke Welsh corgi')",66.0
"('Cardigan', 'Cardigan Welsh corgi')",42.0
"('toy poodle',)",46.0
"('miniature poodle',)",48.0
"('standard poodle',)",64.0
"('Mexican hairless',)",88.0
"('timber wolf', 'grey wolf', 'gray wolf', 'Canis lupus')",50.0
"('white wolf', 'Arctic wolf', 'Canis lupus tundrarum')",72.0
"('red wolf', 'maned wolf', 'Canis rufus', 'Canis niger')",42.0
"('coyote', 'prairie wolf', 'brush wolf', 'Canis latrans')",52.0
"('dingo', 'warrigal', 'warragal', 'Canis dingo')",68.0
"('dhole', 'Cuon alpinus')",80.0
"('African hunting dog', 'hyena dog', 'Cape hunting dog', 'Lycaon pictus')",82.0
"('hyena', 'hyaena')",76.0
"('red fox', 'Vulpes vulpes')",66.0
"('kit fox', 'Vulpes macrotis')",16.0
"('Arctic fox', 'white fox', 'Alopex lagopus')",78.0
"('grey fox', 'gray fox', 'Urocyon cinereoargenteus')",54.0
"('tabby', 'tabby cat')",78.0
"('tiger cat',)",14.0
"('Persian cat',)",92.0
"('Siamese cat', 'Siamese')",98.0
"('Egyptian cat',)",24.0
