Class Name,Accuracy
Pomeranian,20.0
Chow Chow,41.42857142857143
Keeshond,70.0
brussels griffon,30.0
Pembroke Welsh Corgi,90.0
Cardigan Welsh Corgi,31.428571428571427
Toy Poodle,40.0
Miniature Poodle,60.0
Standard Poodle,60.0
Mexican hairless dog (xoloitzcuintli),41.42857142857143
grey wolf,50.0
Alaskan tundra wolf,80.0
red wolf or maned wolf,60.0
coyote,90.0
dingo,67.14285714285714
dhole,80.0
African wild dog,80.0
hyena,100.0
red fox,78.57142857142857
kit fox,30.0
Arctic fox,90.0
grey fox,50.0
tabby cat,85.71428571428571
tiger cat,24.285714285714285
Persian cat,80.0
Siamese cat,90.0
Egyptian Mau,62.857142857142854
cougar,77.14285714285714
lynx,100.0
leopard,78.57142857142857
snow leopard,90.0
jaguar,30.0
lion,90.0
tiger,78.57142857142857
cheetah,80.0
brown bear,90.0
American black bear,90.0
polar bear,90.0
sloth bear,60.0
mongoose,70.0
meerkat,90.0
tiger beetle,92.85714285714286
ladybug,60.0
ground beetle,28.571428571428573
longhorn beetle,58.57142857142857
leaf beetle,40.0
dung beetle,70.0
rhinoceros beetle,85.71428571428571
weevil,80.0
fly,78.57142857142857
bee,80.0
ant,80.0
grasshopper,61.42857142857143
cricket insect,10.0
stick insect,68.57142857142857
cockroach,20.0
praying mantis,40.0
cicada,90.0
leafhopper,90.0
lacewing,60.0
dragonfly,90.0
damselfly,100.0
red admiral butterfly,50.0
ringlet butterfly,100.0
monarch butterfly,90.0
small white butterfly,70.0
sulphur butterfly,100.0
gossamer-winged butterfly,11.428571428571429
starfish,70.0
sea urchin,30.0
sea cucumber,48.57142857142857
cottontail rabbit,80.0
hare,60.0
Angora rabbit,100.0
hamster,90.0
porcupine,50.0
fox squirrel,80.0
marmot,70.0
beaver,80.0
guinea pig,100.0
common sorrel horse,84.28571428571429
zebra,90.0
pig,50.0
wild boar,61.42857142857143
warthog,30.0
hippopotamus,70.0
ox,32.857142857142854
water buffalo,80.0
bison,90.0
ram (adult male sheep),78.57142857142857
bighorn sheep,90.0
Alpine ibex,70.0
hartebeest,80.0
impala (antelope),100.0
gazelle,40.0
arabian camel,71.42857142857143
llama,94.28571428571429
weasel,40.0
mink,60.0
European polecat,70.0
black-footed ferret,40.0
otter,57.142857142857146
skunk,70.0
badger,100.0
armadillo,80.0
three-toed sloth,65.71428571428571
orangutan,100.0
gorilla,80.0
chimpanzee,72.85714285714286
gibbon,60.0
siamang,78.57142857142857
guenon,40.0
patas monkey,50.0
baboon,48.57142857142857
macaque,17.142857142857142
langur,32.857142857142854
black-and-white colobus,70.0
proboscis monkey,61.42857142857143
marmoset,50.0
